BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
440000,1.9152,4.17571,4.17572,6.09451,4.21667,2.74361,1.62898,1.17049,1.93781,9576,2.92125,0,1
445000,0.8944,4.13884,4.13886,6.09451,4.21667,2.74361,1.62898,1.17049,1.62479,4472,2.90671,0,1
450000,1.328,4.10761,4.10762,6.09451,4.21667,2.74361,1.62898,1.17049,1.53575,6640,2.43718,0,1
455000,1.5296,4.07928,4.07929,6.09451,4.21667,2.74361,1.62898,1.17049,1.53391,7648,2.30363,0,1
460000,0.9344,4.0451,4.04511,6.09451,4.21667,2.74361,1.62898,1.17049,1.35405,4672,2.30086,0,1
465000,1.6656,4.01951,4.01952,6.09451,4.21667,2.74361,1.62898,1.17049,1.44752,8328,2.03108,0,1
470000,1.656,3.99437,3.99439,6.09451,4.21667,2.74361,1.62898,1.17049,1.51006,8280,2.17128,0,1
475000,1.0624,3.9635,3.96351,6.09451,4.21667,2.74361,1.62898,1.17049,1.37576,5312,2.26509,0,1
480000,0.9328,3.93193,3.93195,6.09451,4.21667,2.74361,1.62898,1.17049,1.24287,4664,2.06365,0,1
485000,0.9024,3.9007,3.90071,6.09451,4.21667,2.74361,1.62898,1.17049,1.14073,4512,1.86431,0,1
490000,0.6848,3.86789,3.8679,6.09451,4.21667,2.74361,1.62898,1.17049,1.00395,3424,1.7111,0,1
495000,0.5808,3.83468,3.8347,6.09451,4.21667,2.74361,1.62898,1.17049,0.877007,2904,1.50593,0,1
500000,0.9296,3.80563,3.80565,6.09451,4.21667,2.74361,1.62898,1.17049,0.892785,4648,1.31551,0,1
505000,0.8192,3.77606,3.77608,6.09451,4.21667,2.74361,1.62898,1.17049,0.870709,4096,1.33918,0,1
510000,0.9952,3.7488,3.74882,6.09451,4.21667,2.74361,1.62898,1.17049,0.908057,4976,1.30606,0,1
515000,0.84,3.72056,3.72057,6.09451,4.21667,2.74361,1.62898,1.17049,0.88764,4200,1.36208,0,1
520000,0.8592,3.69305,3.69306,6.09451,4.21667,2.74361,1.62898,1.17049,0.879108,4296,1.33146,0,1
525000,1.7808,3.67483,3.67484,6.09451,4.21667,2.74361,1.62898,1.17049,1.14962,8904,1.31866,0,1
